TAG	DESCRIPTION	SIGNAL TYPE	CHASSIS &SLOT No	Channel No.	Signal	MODULE	CONNECTION BOARD	CB TERM.	DEVICE LOCATION	DEVICE TAG	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	TERMINAL BLOCK	TERM. No.	Loop Type	REV.
SPAI-005/16	Wired Spare Input	4-20mA	005	14	S14+	X-AI 32 02	X-CB 008 01	14a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S14+	X-SPAI	10	AI1	0/1		Removed
					AI14+			14b			White (tri cable)		005/AI14+	X-SPAI	11
					AI14-			14c			Green (tri cable)		005/AI14-	X-SPAI	12
SPAI-005/15	Wired Spare Input	4-20mA	005	15	S15+	X-AI 32 02	X-CB 008 01	15a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S15+	X-SPAI	13	AI1	0/1
					AI15+			15b			White (tri cable)		005/AI15+	X-SPAI	14
					AI15-			15c			Green (tri cable)		005/AI15-	X-SPAI	15
SPAI-005/16	Wired Spare Input	4-20mA	005	16	S16+	X-AI 32 02	X-CB 008 01	16a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S16+	X-SPAI	16	AI1	0/1
					AI16+			16b			White (tri cable)		005/AI16+	X-SPAI	17
					AI16-			16c			Green (tri cable)		005/AI16-	X-SPAI	18
SPAI-005/17	Wired Spare Input	4-20mA	005	17	S17+	X-AI 32 02	X-CB 008 01	17a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S17+	X-SPAI	19	AI1	0/1
					AI17+			17b			White (tri cable)		005/AI17+	X-SPAI	20
					AI17-			17c			Green (tri cable)		005/AI17-	X-SPAI	21
SPAI-005/18	Wired Spare Input	4-20mA	005	18	S18+	X-AI 32 02	X-CB 008 01	18a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S18+	X-SPAI	22	AI1	0/1
					AI18+			18b			White (tri cable)		005/AI18+	X-SPAI	23
					AI18-			18c			Green (tri cable)		005/AI18-	X-SPAI	24
SPAI-005/19	Wired Spare Input	4-20mA	005	19	S19+	X-AI 32 02	X-CB 008 01	19a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S19+	X-SPAI	25	AI1	0/1
					AI19+			19b			White (tri cable)		005/AI19+	X-SPAI	26
					AI19-			19c			Green (tri cable)		005/AI19-	X-SPAI	27
SPAI-005/20	Wired Spare Input	4-20mA	005	20	S20+	X-AI 32 02	X-CB 008 01	20a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S20+	X-SPAI	28	AI1	0/1
					AI20+			20b			White (tri cable)		005/AI20+	X-SPAI	29
					AI20-			20c			Green (tri cable)		005/AI20-	X-SPAI	30
SPAI-005/21	Wired Spare Input	4-20mA	005	21	S21+	X-AI 32 02	X-CB 008 01	21a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S21+	X-SPAI	31	AI1	0/1
					AI21+			21b			White (tri cable)		005/AI21+	X-SPAI	32
					AI21-			21c			Green (tri cable)		005/AI21-	X-SPAI	33
SPAI-005/22	Wired Spare Input	4-20mA	005	22	S22+	X-AI 32 02	X-CB 008 01	22a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S22+	X-SPAI	34	AI1	0/1
					AI22+			22b			White (tri cable)		005/AI22+	X-SPAI	35
					AI22-			22c			Green (tri cable)		005/AI22-	X-SPAI	36
SPAI-005/23	Wired Spare Input	4-20mA	005	23	S23+	X-AI 32 02	X-CB 008 01	23a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S23+	X-SPAI	37	AI1	0/1
					AI23+			23b			White (tri cable)		005/AI23+	X-SPAI	38
					AI23-			23c			Green (tri cable)		005/AI23-	X-SPAI	39
SPAI-005/24	Wired Spare Input	4-20mA	005	24	S24+	X-AI 32 02	X-CB 008 01	24a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S24+	X-SPAI	40	AI1	0/1
					AI24+			24b			White (tri cable)		005/AI24+	X-SPAI	41
					AI24-			24c			Green (tri cable)		005/AI24-	X-SPAI	42
SPAI-005/25	Wired Spare Input	4-20mA	005	25	S25+	X-AI 32 02	X-CB 008 01	25a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S25+	X-SPAI	43	AI1	0/1
					AI25+			25b			White (tri cable)		005/AI25+	X-SPAI	44
					AI25-			25c			Green (tri cable)		005/AI25-	X-SPAI	45
SPAI-005/26	Wired Spare Input	4-20mA	005	26	S26+	X-AI 32 02	X-CB 008 01	26a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S26+	X-SPAI	46	AI1	0/1
					AI26+			26b			White (tri cable)		005/AI26+	X-SPAI	47
					AI26-			26c			Green (tri cable)		005/AI26-	X-SPAI	48
SPAI-005/27	Wired Spare Input	4-20mA	005	27	S27+	X-AI 32 02	X-CB 008 01	27a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S27+	X-SPAI	49	AI1	0/1
					AI27+			27b			White (tri cable)		005/AI27+	X-SPAI	50
					AI27-			27c			Green (tri cable)		005/AI27-	X-SPAI	51
SPAI-005/28	Wired Spare Input	4-20mA	005	28	S28+	X-AI 32 02	X-CB 008 01	28a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S28+	X-SPAI	52	AI1	0/1
					AI28+			28b			White (tri cable)		005/AI28+	X-SPAI	53
					AI28-			28c			Green (tri cable)		005/AI28-	X-SPAI	54
SPAI-005/29	Wired Spare Input	4-20mA	005	29	S29+	X-AI 32 02	X-CB 008 01	29a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S29+	X-SPAI	55	AI1	0/1
					AI29+			29b			White (tri cable)		005/AI29+	X-SPAI	56
					AI29-			29c			Green (tri cable)		005/AI29-	X-SPAI	57
SPAI-005/30	Wired Spare Input	4-20mA	005	30	S30+	X-AI 32 02	X-CB 008 01	30a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S30+	X-SPAI	58	AI1	0/1
					AI30+			30b			White (tri cable)		005/AI30+	X-SPAI	59
					AI30-			30c			Green (tri cable)		005/AI30-	X-SPAI	60
SPAI-005/31	Wired Spare Input	4-20mA	005	31	S31+	X-AI 32 02	X-CB 008 01	31a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S31+	X-SPAI	61	AI1	0/1
					AI31+			31b			White (tri cable)		005/AI31+	X-SPAI	62
					AI31-			31c			Green (tri cable)		005/AI31-	X-SPAI	63
SPAI-005/32	Wired Spare Input	4-20mA	005	32	S32+	X-AI 32 02	X-CB 008 01	32a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S32+	X-SPAI	64	AI1	0/1
					AI32+			32b			White (tri cable)		005/AI32+	X-SPAI	65
					AI32-			32c			Green (tri cable)		005/AI32-	X-SPAI	66
