TAG	DESCRIPTION	SIGNAL TYPE	CHASSIS &SLOT No	Channel. No.	Signal	MODULE	CONNECTION BOARD	CB TERM.	DEVICE LOCATION	DEVICE TAG	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	TERMINAL BLOCK	TERM. No.	Loop Type	REV.
B10E-PS-GADC-01	General Access Door Closed Position Switch 1 (N/O when Door Open)	24Vdc	008	1	S1+	X-DI 32 05	X-CB 005 01	1a	EXTERNAL	B10E-PS-DS-01	Red	0.5mm² H05Z-K	008/S1+	X-DS01	3	DI1	0
					DI1+			1b			Grey	0.5mm² H05Z-K	008/DI1+	X-DS01	4
B10E-PS-GADL-01	General Access Door Locked Position Switch 1	24Vdc	008	2	S2+	X-DI 32 05	X-CB 005 01	2a	EXTERNAL	B10E-PS-DS-01	Red	0.5mm² H05Z-K	008/S2+	X-DS01	5	DI1	0
					DI2+			2b			Grey	0.5mm² H05Z-K	008/DI2+	X-DS01	6
SPDI-008/3	Wired Spare Input (Reserved)	24Vdc	008	3	S3+	X-DI 32 05	X-CB 005 01	3a	HUTCH	B10E-PS-DS-03	Red	0.5mm² H05Z-K	008/S3+	X-DS03	3	DI1	0
					DI3+			3b			Grey	0.5mm² H05Z-K	008/DI3+	X-DS03	4
B10E-PS-GADC-04	General Access Gate Closed Position Switch 1  (N/O when Gate Open)	24Vdc	008	4	S4+	X-DI 32 05	X-CB 005 01	4a	EXTERNAL	B10E-PS-DS-04	Red	0.5mm² H05Z-K	008/S4+	X-DS04	3	DI1	0
					DI4+			4b			Grey	0.5mm² H05Z-K	008/DI4+	X-DS04	4
B10E-PS-GADL-04	General Access Gate Locked Position Switch 1	24Vdc	008	5	S5+	X-DI 32 05	X-CB 005 01	5a	EXTERNAL	B10E-PS-DS-04	Red	0.5mm² H05Z-K	008/S5+	X-DS04	5	DI1	0
					DI5+			5b			Grey	0.5mm² H05Z-K	008/DI5+	X-DS04	6
SPDI-008/6	Wired Spare Input (Reserved)	24Vdc	008	6	S6+	X-DI 32 05	X-CB 005 01	6a	EXTERNAL	B10E-PS-DS-06	Red	0.5mm² H05Z-K	008/S6+	X-DS06	3	DI2	0/1
					DI6+			6b			Grey	0.5mm² H05Z-K	008/DI6+	X-DS06	4
B10E-PS-SADC-01	Service Access Door Closed Position Switch 1 (N/O when Door Open)	24Vdc	008	7	S7+	X-DI 32 05	X-CB 005 01	7a	EXTERNAL	B10E-PS-DS-07	Red	0.5mm² H05Z-K	008/S7+	X-DS07	3	DI1	0
					DI7+			7b			Grey	0.5mm² H05Z-K	008/DI7+	X-DS07	4
