TAG	DESCRIPTION	SIGNAL TYPE	CHASSIS &SLOT No	Channel. No.	Signal	MODULE	CONNECTION BOARD	CB TERM.	DEVICE LOCATION	DEVICE TAG	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	TERMINAL BLOCK	TERM. No.	Loop Type	REV.
B10E-PS-SP01-03	Beacon/Sounder 03 Message 1	24Vdc	015	1	DO1+	X-DO 24 01	X-CB 009 01	1a	HUTCH	B10E-PS-SP-03	Grey	0.75mm² H05Z-K	015/DO1+	X-SP03	1	DO1	0
					DO1-			1b			White	0.75mm² H05Z-K	015/DO1-	X-SP03	2
B10E-PS-SP02-03	Beacon/Sounder 03 Message 2	24Vdc	015	2	DO2+	X-DO 24 01	X-CB 009 01	2a	HUTCH	B10E-PS-SP-03	Grey	0.75mm² H05Z-K	015/DO2+	X-SP03	3	DO1	0
					DO2-			2b			White	0.75mm² H05Z-K	015/DO2-	X-SP03	4
B10E-PS-SP03-03	Beacon/Sounder 03 Strobe	24Vdc	015	3	DO3+	X-DO 24 01	X-CB 009 01	3a	HUTCH	B10E-PS-SP-03	Grey	0.75mm² H05Z-K	015/DO3+	X-SP03	5	DO1	0
					DO3-			3b			White	0.75mm² H05Z-K	015/DO3-	X-SP03	6
B10E-PS-BOBI-01:A	Beam Off Button Indicator 01 -A	24Vdc	015	4	DO4+	X-DO 24 01	X-CB 009 01	4a	HUTCH	B10E-PS-BOBI-01	Grey	0.75mm² H05Z-K	015/DO4+	X-BOBI	1	DO1	0
					DO4-			4b			White	0.75mm² H05Z-K	015/DO4-	X-BOBI	2
B10E-PS-BOBI-02:A	Beam Off Button Indicator 02 -A	24Vdc	015	5	DO5+	X-DO 24 01	X-CB 009 01	5a	HUTCH	B10E-PS-BOBI-02	Grey	0.75mm² H05Z-K	015/DO5+	X-BOBI	5	DO1	0
					DO5-			5b			White	0.75mm² H05Z-K	015/DO5-	X-BOBI	6
B10E-PS-BOBI-03:A	Beam Off Button Indicator 03 -A	24Vdc	015	6	DO6+	X-DO 24 01	X-CB 009 01	6a	HUTCH	B10E-PS-BOBI-03	Grey	0.75mm² H05Z-K	015/DO6+	X-BOBI	9	DO1	0
					DO6-			6b			White	0.75mm² H05Z-K	015/DO6-	X-BOBI	10
B10E-PS-BOBI-04:A	Beam Off Button Indicator 04 -A	24Vdc	015	7	DO7+	X-DO 24 01	X-CB 009 01	7a	HUTCH	B10E-PS-BOBI-04	Grey	0.75mm² H05Z-K	015/DO7+	X-BOBI	13	DO1	0
					DO7-			7b			White	0.75mm² H05Z-K	015/DO7-	X-BOBI	14
B10E-PS-BOBI-05:A	Beam Off Button Indicator 05 -A	24Vdc	015	8	DO8+	X-DO 24 01	X-CB 009 01	8a	HUTCH	B10E-PS-BOBI-05	Grey	0.75mm² H05Z-K	015/DO8+	X-BOBI	17	DO1	0
					DO8-			8b			White	0.75mm² H05Z-K	015/DO8-	X-BOBI	18
B10E-PS-BONI-01:A	Beam On Indicator 01 -A	24Vdc	015	9	DO9+	X-DO 24 01	X-CB 009 01	9a	HUTCH	B10E-PS-BONI-01	Grey	0.75mm² H05Z-K	015/DO9+	X-BOBI	21	DO1	0
					DO9-			9b			White	0.75mm² H05Z-K	015/DO9-	X-BOBI	22
B10E-PS-SP01-06	O2/SF6 Healthy Beacon 03 (GREEN LED)	24Vdc	015	10	DO10+	X-DO 24 01	X-CB 009 01	10a	HUTCH	B10E-PS-SP-06	Grey	0.75mm² H05Z-K	015/DO10+	X-SP	9	DO1	0
					DO10-			10b			White	0.75mm² H05Z-K	015/DO10-	X-SP	10
B10E-PS-SP02-06	O2/SF6 Alarm Beacon 03 (RED LED)	24Vdc	015	11	DO11+	X-DO 24 01	X-CB 009 01	11a	HUTCH	B10E-PS-SP-06	Grey	0.75mm² H05Z-K	015/DO11+	X-SP	11	DO1	0
					DO11-			11b			White	0.75mm² H05Z-K	015/DO11-	X-SP	12
B10E-PS-SP01-07	O2/SF6 Healthy Beacon 04 (GREEN LED)	24Vdc	015	12	DO12+	X-DO 24 01	X-CB 009 01	12a	EXTERNAL	B10E-PS-SP-07	Grey	0.75mm² H05Z-K	015/DO12+	X-SP	13	DO1	0
					DO12-			12b			White	0.75mm² H05Z-K	015/DO12-	X-SP	14
B10E-PS-SP02-07	O2/SF6 Alarm Beacon 04 (RED LED)	24Vdc	015	13	DO13+	X-DO 24 01	X-CB 009 01	13a	EXTERNAL	B10E-PS-SP-07	Grey	0.75mm² H05Z-K	015/DO13+	X-SP	15	DO1	0
					DO13-			13b			White	0.75mm² H05Z-K	015/DO13-	X-SP	16
SPDO-015/14	Wired Spare Output	24Vdc	015	14	DO14+	X-DO 24 01	X-CB 009 01	14a			Grey	0.75mm² H05Z-K	015/DO14+	X-SPDO	23	DO1	0
					DO14-			14b			White	0.75mm² H05Z-K	015/DO14-	X-SPDO	24
B10E-PS-BLUEL-01:B	Blue Light 01 -B	24Vdc	015	15	DO15+	X-DO 24 01	X-CB 009 01	15a	HUTCH	B10E-PS-BLUEL-01	Grey	0.75mm² H05Z-K	015/DO15+	X-BLUEL	3	DO1	0
					DO15-			15b			White	0.75mm² H05Z-K	015/DO15-	X-BLUEL	4
B10E-PS-BLUEL-02:B	Blue Light 02 -B	24Vdc	015	16	DO16+	X-DO 24 01	X-CB 009 01	16a	HUTCH	B10E-PS-BLUEL-02	Grey	0.75mm² H05Z-K	015/DO16+	X-BLUEL	7	DO1	0
					DO16-			16b			White	0.75mm² H05Z-K	015/DO16-	X-BLUEL	8
B10E-PS-BLUEL-03:B	Blue Light 03 -B	24Vdc	015	17	DO17+	X-DO 24 01	X-CB 009 01	17a	HUTCH	B10E-PS-BLUEL-03	Grey	0.75mm² H05Z-K	015/DO17+	X-BLUEL	11	DO1	0
					DO17-			17b			White	0.75mm² H05Z-K	015/DO17-	X-BLUEL	12
B10E-PS-BLUEL-04:B	Blue Light 04 -B	24Vdc	015	18	DO18+	X-DO 24 01	X-CB 009 01	18a	HUTCH	B10E-PS-BLUEL-04	Grey	0.75mm² H05Z-K	015/DO18+	X-BLUEL	15	DO1	0
					DO18-			18b			White	0.75mm² H05Z-K	015/DO18-	X-BLUEL	16
