TAG	DESCRIPTION	SIGNAL TYPE	CHASSIS &SLOT No	CHANNEL NO.	SIGNAL	MODULE	CONNECTION BOARD	CB TERM.	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	DEVICE TERM. IN	DEVICE	DEVICE TERM. OUT	DEVICE LOCATION	DEVICE TAG	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	TERMINAL BLOCK	TERM. No.	Loop Type	REV.
B10E-PS-WLT-01:EN	White Lights Enable (Relay)	24Vdc	013	1	DO1+	X-DO 24 01	X-CB 009 01	1a	Grey	0.75mm² H05Z-K	013/DO1+	A1	CON-1			B10E-PS-WLT-01						SEE	0/1
					DO1-			1b	White	0.75mm² H05Z-K	013/DO1-	A2										DWG 72
					13L+				Red	2.5mm² H07Z-K	13L+	1/L1		2/T1			Red	2.5mm² H07Z-K	CON1/:2	X-WLT	1				Change wire size
					14L+				Red	2.5mm² H07Z-K	14L+	3/L2		4/T2			Red	2.5mm² H07Z-K	CON1/:4	X-WLT	3
					13L-												White	2.5mm² H07Z-K	13L-	X-WLT	2
					14L-												White	2.5mm² H07Z-K	14L-	X-WLT	4
B10E-PS-CUST-01	HVEE Interlock	24Vdc	013	2	DO2+	X-DO 24 01	X-CB 009 01	2a	Grey	0.75mm² H05Z-K	013/DO2+	4	CON-6	7		B10E-PS-CON-11	Orange	0.75mm² H05Z-K	013/DO2+	X-INTF07	39	SEE	0/2		Tag change
					DO2-			2b	White	0.75mm² H05Z-K	013/DO2-	2	(H4116)	6			Orange	0.75mm² H05Z-K	013/DO2-	X-INTF07	40	DWG 73
B10E-PS-KEY-01:SOL	Beamline Enable Keyswitch Solenoid	24Vdc	013	3	DO3+	X-DO 24 01	X-CB 009 01	3a							ZCP	B10E-PS-KEY-01	Grey	0.75mm² H05Z-K	013/DO3+	X-ZCP	1	DO1	0
					DO3-			3b									White	0.75mm² H05Z-K	013/DO3-	X-ZCP	2
B10E-PS-KEY-02:SOL	Hutch Enable Keyswitch Solenoid	24Vdc	013	4	DO4+	X-DO 24 01	X-CB 009 01	4a							ZCP	B10E-PS-KEY-02	Grey	0.75mm² H05Z-K	013/DO4+	X-ZCP	5	DO1	0
					DO4-			4b									White	0.75mm² H05Z-K	013/DO4-	X-ZCP	6
B10E-PS-OR-01:LED	Door Open / Reset Pushbutton LED	24Vdc	013	5	DO5+	X-DO 24 01	X-CB 009 01	5a							ZCP	B10E-PS-OR-01	Grey	0.75mm² H05Z-K	013/DO5+	X-ZCP	15	DO1	0
					DO5-			5b									White	0.75mm² H05Z-K	013/DO5-	X-ZCP	16
B10E-PS-ASBF-01:LED	Area Search Button Final LED	24Vdc	013	6	DO6+	X-DO 24 01	X-CB 009 01	6a							ZCP	B10E-PS-ASBF-01	Grey	0.75mm² H05Z-K	013/DO6+	X-ZCP	11	DO1	0
					DO6-			6b									White	0.75mm² H05Z-K	013/DO6-	X-ZCP	12
B10E-PS-WLON-01:LED	White Lights Enable Switch LED	24Vdc	013	7	DO7+	X-DO 24 01	X-CB 009 01	7a							ZCP	B10E-PS-WLON-01	Grey	0.75mm² H05Z-K	013/DO7+	X-ZCP	27	DO1	0
					DO7-			7b									White	0.75mm² H05Z-K	013/DO7-	X-ZCP	28
B10E-PS-LCTx-01	Light Curtain Test Function	24Vdc	013	8	DO8+	X-DO 24 01	X-CB 009 01	8a							EXTERNAL (VIA ZCP)	B10E-PS-LCTx-01	Grey	0.75mm² H05Z-K	013/DO8+	X-ZCP	35	DO1	0
					DO8-			8b									White	0.75mm² H05Z-K	013/DO8-	X-ZCP	36
B10E-PS-ANNOPN-01:A	Hutch Status Annunciator - OPEN A	24Vdc	013	9	DO9+	X-DO 24 01	X-CB 009 01	9a							EXTERNAL	B10E-PS-ANNUN-01	Grey	0.75mm² H05Z-K	013/DO9+	X-ANNUN	1	DO1	0
					DO9-			9b									White	0.75mm² H05Z-K	013/DO9-	X-ANNUN	2
B10E-PS-ANNRES-01:A	Hutch Status Annunciator - RESTRICTED A	24Vdc	013	10	DO10+	X-DO 24 01	X-CB 009 01	10a							EXTERNAL	B10E-PS-ANNUN-01	Grey	0.75mm² H05Z-K	013/DO10+	X-ANNUN	5	DO1	0
					DO10-			10b									White	0.75mm² H05Z-K	013/DO10-	X-ANNUN	6
B10E-PS-ANNSTB-01:A	Hutch Status Annunciator - STANDBY A	24Vdc	013	11	DO11+	X-DO 24 01	X-CB 009 01	11a							EXTERNAL	B10E-PS-ANNUN-01	Grey	0.75mm² H05Z-K	013/DO11+	X-ANNUN	9	DO1	0
					DO11-			11b									White	0.75mm² H05Z-K	013/DO11-	X-ANNUN	10
B10E-PS-ANNBON-01:A	Hutch Status Annunciator - BEAM ON A	24Vdc	013	12	DO12+	X-DO 24 01	X-CB 009 01	12a							EXTERNAL	B10E-PS-ANNUN-01	Grey	0.75mm² H05Z-K	013/DO12+	X-ANNUN	13	DO1	0
					DO12-			12b									White	0.75mm² H05Z-K	013/DO12-	X-ANNUN	14
B10E-PS-SP01-01	Beacon/Sounder 01 Message 1 (LSB)	24Vdc	013	13	DO13+	X-DO 24 01	X-CB 009 01	13a							HUTCH	B10E-PS-SP-01	Grey	0.75mm² H05Z-K	013/DO13+	X-SP01	1	DO1	0
					DO13-			13b									White	0.75mm² H05Z-K	013/DO13-	X-SP01	2
B10E-PS-SP02-01	Beacon/Sounder 01 Message 2 (MSB)	24Vdc	013	14	DO14+	X-DO 24 01	X-CB 009 01	14a							HUTCH	B10E-PS-SP-01	Grey	0.75mm² H05Z-K	013/DO14+	X-SP01	3	DO1	0
					DO14-			14b									White	0.75mm² H05Z-K	013/DO14-	X-SP01	4
B10E-PS-SP03-01	Beacon/Sounder 01 Strobe	24Vdc	013	15	DO15+	X-DO 24 01	X-CB 009 01	15a							HUTCH	B10E-PS-SP-01	Grey	0.75mm² H05Z-K	013/DO15+	X-SP01	5	DO1	0
					DO15-			15b									White	0.75mm² H05Z-K	013/DO15-	X-SP01	6
B10E-PS-SOVLN2-01	Liquid Nitrogen Shuttoff Valve	24Vdc	013	16	DO16+	X-DO 24 01	X-CB 009 01	16a							EXTERNAL	B10E-PS-SOVLN2-01	Grey	0.75mm² H05Z-K	013/DO16+	X-SOVLN2	1	DO1	0
					DO16-			16b									White	0.75mm² H05Z-K	013/DO16-	X-SOVLN2	2
B10E-PS-SP01-04	O2/SF6 Healthy Beacon 01 (Green LED)	24Vdc	013	17	DO17+	X-DO 24 01	X-CB 009 01	17a							HUTCH	B10E-PS-SP-04	Grey	0.75mm² H05Z-K	013/DO17+	X-SP	1	DO1	0
					DO17-			17b									White	0.75mm² H05Z-K	013/DO17-	X-SP	2
B10E-PS-SP02-04	O2/SF6 Alarm Beacon 01 (Red LED)	24Vdc	013	18	DO18+	X-DO 24 01	X-CB 009 01	18a							HUTCH	B10E-PS-SP-04	Grey	0.75mm² H05Z-K	013/DO18+	X-SP	3	DO1	0
					DO18-			18b									White	0.75mm² H05Z-K	013/DO18-	X-SP	4
B10E-PS-CON-06:EN	Power Contactor 06 (3 Phase RF Power)	24Vdc	013	19	DO19+	X-DO 24 01	X-CB 009 01	19a							ELECTRON SOURCE	B10E-PS-CON-06	Grey	0.75mm² H05Z-K	013/DO19+	X-INTF07	43	DO1	0/2
					DO19-			19b									White	0.75mm² H05Z-K	013/DO19-	X-INTF07	44
B10E-PS-CON-07:EN	Power Contactor 07 (3 Phase RF Power)	24Vdc	013	20	DO20+	X-DO 24 01	X-CB 009 01	20a							ELECTRON SOURCE	B10E-PS-CON-07	Grey	0.75mm² H05Z-K	013/DO20+	X-INTF07	47	DO1	0/2
					DO20-			20b									White	0.75mm² H05Z-K	013/DO20-	X-INTF07	48
B10E-PS-CON-08:EN	Power Contactor 08 (3 Phase RF Power)	24Vdc	013	21	DO21+	X-DO 24 01	X-CB 009 01	21a							ELECTRON SOURCE	B10E-PS-CON-08	Grey	0.75mm² H05Z-K	013/DO21+	X-INTF07	51	DO1	0/2
					DO21-			21b									White	0.75mm² H05Z-K	013/DO21-	X-INTF07	52
B10E-PS-CON-09:EN	Power Contactor 09 (1 Phase RF Drive)	24Vdc	013	22	DO22+	X-DO 24 01	X-CB 009 01	22a							ELECTRON SOURCE	B10E-PS-CON-09	Grey	0.75mm² H05Z-K	013/DO22+	X-INTF07	55	DO1	0/2
					DO22-			22b									White	0.75mm² H05Z-K	013/DO22-	X-INTF07	56
B10E-PS-CON-10:EN	Power Contactor 10 (1 Phase RF Drive)	24Vdc	013	23	DO23+	X-DO 24 01	X-CB 009 01	23a							ELECTRON SOURCE	B10E-PS-CON-10	Grey	0.75mm² H05Z-K	013/DO23+	X-INTF07	59	DO1	0/2
					DO23-			23b									White	0.75mm² H05Z-K	013/DO23-	X-INTF07	60
SPDO-013/24	Wired Spare Output	24Vdc	013	24	DO24+	X-DO 24 01	X-CB 009 01	24a									Grey	0.75mm² H05Z-K	013/DO24+	X-SPDO	11	DO1	0
					DO24-			24b									White	0.75mm² H05Z-K	013/DO24-	X-SPDO	12

