TAG	DESCRIPTION	SIGNAL TYPE	CHASSIS &SLOT No	Channel. No.	Signal	MODULE	CONNECTION BOARD	CB TERM.	DEVICE LOCATION	DEVICE TAG	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	TERMINAL BLOCK	TERM. No.	Loop Type	REV.
SPDO-016/1	Wired Spare Output	24Vdc	016	1	DO1+	X-DO 24 01	X-CB 009 01	1a			Grey	0.75mm² H05Z-K	016/DO1+	X-SPDO	33	DO1	0
					DO1-			1b			White	0.75mm² H05Z-K	016/DO1-	X-SPDO	34
SPDO-016/2	Wired Spare Output	24Vdc	016	2	DO2+	X-DO 24 01	X-CB 009 01	2a			Grey	0.75mm² H05Z-K	016/DO2+	X-SPDO	35	DO1	0
					DO2-			2b			White	0.75mm² H05Z-K	016/DO2-	X-SPDO	36
SPDO-016/3	Wired Spare Output	24Vdc	016	3	DO3+	X-DO 24 01	X-CB 009 01	3a			Grey	0.75mm² H05Z-K	016/DO3+	X-SPDO	37	DO1	0
					DO3-			3b			White	0.75mm² H05Z-K	016/DO3-	X-SPDO	38
B10E-PS-BOBI-01:B	Beam Off Button Indicator 01 -B	24Vdc	016	4	DO4+	X-DO 24 01	X-CB 009 01	4a	HUTCH	B10E-PS-BOBI-01	Grey	0.75mm² H05Z-K	016/DO4+	X-BOBI	3	DO1	0
					DO4-			4b			White	0.75mm² H05Z-K	016/DO4-	X-BOBI	4
B10E-PS-BOBI-02:B	Beam Off Button Indicator 02 -B	24Vdc	016	5	DO5+	X-DO 24 01	X-CB 009 01	5a	HUTCH	B10E-PS-BOBI-02	Grey	0.75mm² H05Z-K	016/DO5+	X-BOBI	7	DO1	0
					DO5-			5b			White	0.75mm² H05Z-K	016/DO5-	X-BOBI	8
B10E-PS-BOBI-03:B	Beam Off Button Indicator 03 -B	24Vdc	016	6	DO6+	X-DO 24 01	X-CB 009 01	6a	HUTCH	B10E-PS-BOBI-03	Grey	0.75mm² H05Z-K	016/DO6+	X-BOBI	11	DO1	0
					DO6-			6b			White	0.75mm² H05Z-K	016/DO6-	X-BOBI	12
B10E-PS-BOBI-04:B	Beam Off Button Indicator 04 -B	24Vdc	016	7	DO7+	X-DO 24 01	X-CB 009 01	7a	HUTCH	B10E-PS-BOBI-04	Grey	0.75mm² H05Z-K	016/DO7+	X-BOBI	15	DO1	0
					DO7-			7b			White	0.75mm² H05Z-K	016/DO7-	X-BOBI	16
B10E-PS-BOBI-05:B	Beam Off Button Indicator 05 -B	24Vdc	016	8	DO8+	X-DO 24 01	X-CB 009 01	8a	HUTCH	B10E-PS-BOBI-05	Grey	0.75mm² H05Z-K	016/DO8+	X-BOBI	19	DO1	0
					DO8-			8b			White	0.75mm² H05Z-K	016/DO8-	X-BOBI	20
B10E-PS-BONI-01:B	Beam On Indicator 01 -B	24Vdc	016	9	DO9+	X-DO 24 01	X-CB 009 01	9a	HUTCH	B10E-PS-BONI-01	Grey	0.75mm² H05Z-K	016/DO9+	X-BOBI	23	DO1	0
					DO9-			9b			White	0.75mm² H05Z-K	016/DO9-	X-BOBI	24
B10E-PS-CON-01:EN	Power Contactor 01	24Vdc	016	10	DO10+	X-DO 24 01	X-CB 009 01	10a	ELECTRON SOURCE	B10E-PS-CON-01	Grey	0.75mm² H05Z-K	016/DO10+	X-INTF07	1	DO1	0
					DO10-			10b			White	0.75mm² H05Z-K	016/DO10-	X-INTF07	2
B10E-PS-CON-02:EN	Power Contactor 02	24Vdc	016	11	DO11+	X-DO 24 01	X-CB 009 01	11a	ELECTRON SOURCE	B10E-PS-CON-02	Grey	0.75mm² H05Z-K	016/DO11+	X-INTF07	5	DO1	0
					DO11-			11b			White	0.75mm² H05Z-K	016/DO11-	X-INTF07	6
B10E-PS-CON-03:EN	Power Contactor 03	24Vdc	016	12	DO12+	X-DO 24 01	X-CB 009 01	12a	ELECTRON SOURCE	B10E-PS-CON-03	Grey	0.75mm² H05Z-K	016/DO12+	X-INTF07	9	DO1	0
					DO12-			12b			White	0.75mm² H05Z-K	016/DO12-	X-INTF07	10
B10E-PS-CON-04:EN	Power Contactor 04	24Vdc	016	13	DO13+	X-DO 24 01	X-CB 009 01	13a	ELECTRON SOURCE	B10E-PS-CON-04	Grey	0.75mm² H05Z-K	016/DO13+	X-INTF07	13	DO1	0
					DO13-			13b			White	0.75mm² H05Z-K	016/DO13-	X-INTF07	14
